,Neighborhood,ZipCode,Serious Lead Risk,Predicted SLR
0,BX1,10463,0.0,0.0
1,BX1,10471,0.0,1.0
2,BX2,10466,1.0,1.0
3,BX2,10469,1.0,0.0
4,BX2,10470,1.0,0.0
5,BX2,10475,1.0,0.0
6,BX3,10458,1.0,1.0
7,BX3,10467,1.0,1.0
8,BX3,10468,1.0,0.0
9,BX4,10461,0.0,0.0
10,BX4,10462,0.0,0.0
11,BX4,10464,0.0,0.0
12,BX4,10465,0.0,
13,BX4,10472,0.0,
14,BX4,10473,0.0,
15,BX5,10453,0.0,
16,BX5,10457,0.0,
17,BX5,10460,0.0,
18,BX6,10451,1.0,
19,BX6,10452,1.0,
20,BX6,10456,1.0,
21,BX7,10454,1.0,
22,BX7,10455,1.0,
23,BX7,10459,1.0,
24,BX7,10474,1.0,
25,BK1,11211,1.0,
26,BK1,11222,1.0,
27,BK2,11206,1.0,
28,BK2,11221,1.0,
29,BK2,11237,1.0,
30,BK3,11201,1.0,
31,BK3,11205,1.0,
32,BK3,11215,1.0,
33,BK3,11217,1.0,
34,BK3,11231,1.0,
35,BK4,11212,1.0,
36,BK4,11213,1.0,
37,BK4,11216,1.0,
38,BK4,11233,1.0,
39,BK4,11238,1.0,
40,BK5,11207,1.0,
41,BK5,11208,1.0,
42,BK6,11220,1.0,
43,BK6,11232,1.0,
44,BK7,11204,1.0,
45,BK7,11218,1.0,
46,BK7,11219,1.0,
47,BK7,11230,1.0,
48,BK8,11203,1.0,
49,BK8,11210,1.0,
50,BK8,11225,1.0,
51,BK8,11226,1.0,
52,BK9,11234,0.0,
53,BK9,11236,0.0,
54,BK9,11239,0.0,
55,BK10,11209,1.0,
56,BK10,11214,1.0,
57,BK10,11228,1.0,
58,BK11,11223,1.0,
59,BK11,11224,1.0,
60,BK11,11229,1.0,
61,BK11,11235,1.0,
62,M1,10031,1.0,
63,M1,10032,1.0,
64,M1,10033,1.0,
65,M1,10034,1.0,
66,M1,10040,1.0,
67,M2,10026,0.0,
68,M2,10027,0.0,
69,M2,10030,0.0,
70,M2,10037,0.0,
71,M2,10039,0.0,
72,M3,10029,0.0,
73,M3,10035,0.0,
74,M4,10023,0.0,
75,M4,10024,0.0,
76,M4,10025,0.0,
77,M4,10069,0.0,
78,M5,10021,0.0,
79,M5,10028,0.0,
80,M5,10044,0.0,
81,M5,10128,0.0,
82,M5,10075,0.0,
83,M5,10065,0.0,
84,M6,10001,0.0,
85,M6,10011,0.0,
86,M6,10018,0.0,
87,M6,10019,0.0,
88,M6,10036,0.0,
89,M7,10010,0.0,
90,M7,10016,0.0,
91,M7,10017,0.0,
92,M7,10022,0.0,
93,M8,10012,0.0,
94,M8,10013,0.0,
95,M8,10014,0.0,
96,M9,10002,0.0,
97,M9,10003,0.0,
98,M9,10009,0.0,
99,M10,10004,0.0,
100,M10,10005,0.0,
101,M10,10007,0.0,
102,M10,10038,0.0,
103,M10,10280,0.0,
104,M10,10282,0.0,
105,Q1,11101,1.0,
106,Q1,11102,1.0,
107,Q1,11103,1.0,
108,Q1,11104,1.0,
109,Q1,11105,1.0,
110,Q1,11106,1.0,
111,Q1,11109,1.0,
112,Q2,11368,1.0,
113,Q2,11369,1.0,
114,Q2,11370,1.0,
115,Q2,11372,1.0,
116,Q2,11373,1.0,
117,Q2,11377,1.0,
118,Q2,11378,1.0,
119,Q3,11354,0.0,
120,Q3,11355,0.0,
121,Q3,11356,0.0,
122,Q3,11357,0.0,
123,Q3,11358,0.0,
124,Q3,11360,0.0,
125,Q4,11361,0.0,
126,Q4,11362,0.0,
127,Q4,11363,0.0,
128,Q4,11364,0.0,
129,Q5,11374,1.0,
130,Q5,11375,1.0,
131,Q5,11379,1.0,
132,Q5,11385,1.0,
133,Q6,11365,0.0,
134,Q6,11366,0.0,
135,Q6,11367,0.0,
136,Q7,11414,1.0,
137,Q7,11415,1.0,
138,Q7,11416,1.0,
139,Q7,11417,1.0,
140,Q7,11418,1.0,
141,Q7,11419,1.0,
142,Q7,11420,1.0,
143,Q7,11421,1.0,
144,Q8,11412,1.0,
145,Q8,11423,1.0,
146,Q8,11432,1.0,
147,Q8,11433,1.0,
148,Q8,11434,1.0,
149,Q8,11435,1.0,
150,Q8,11436,1.0,
151,Q9,11004,0.0,
152,Q9,11411,0.0,
153,Q9,11413,0.0,
154,Q9,11422,0.0,
155,Q9,11426,0.0,
156,Q9,11427,0.0,
157,Q9,11428,0.0,
158,Q9,11429,0.0,
159,Q10,11691,0.0,
160,Q10,11692,0.0,
161,Q10,11693,0.0,
162,Q10,11694,0.0,
163,Q10,11697,0.0,
164,S1,10302,1.0,
165,S1,10303,1.0,
166,S1,10310,1.0,
167,S2,10301,1.0,
168,S2,10304,1.0,
169,S2,10305,1.0,
170,S3,10314,0.0,
171,S4,10306,0.0,
172,S4,10307,0.0,
173,S4,10308,0.0,
174,S4,10309,0.0,
175,S4,10312,0.0,
